region,division,state,Population_2022,page_title,url,rev_id,quality
Northeast,New England,Maine,1385340.0,"Abbot, Maine","https://en.wikipedia.org/wiki/Abbot,_Maine",1171169435,Start
Northeast,New England,Maine,1385340.0,"Acton, Maine","https://en.wikipedia.org/wiki/Acton,_Maine",1175249481,C
Northeast,New England,Maine,1385340.0,"Addison, Maine","https://en.wikipedia.org/wiki/Addison,_Maine",1168360008,C
Northeast,New England,Maine,1385340.0,"Albion, Maine","https://en.wikipedia.org/wiki/Albion,_Maine",1165909611,C
Northeast,New England,Maine,1385340.0,"Alexander, Maine","https://en.wikipedia.org/wiki/Alexander,_Maine",1170293819,Start
Northeast,New England,Maine,1385340.0,"Alfred, Maine","https://en.wikipedia.org/wiki/Alfred,_Maine",1159978367,C
Northeast,New England,Maine,1385340.0,"Allagash, Maine","https://en.wikipedia.org/wiki/Allagash,_Maine",1164604474,C
Northeast,New England,Maine,1385340.0,"Alna, Maine","https://en.wikipedia.org/wiki/Alna,_Maine",1174508448,C
Northeast,New England,Maine,1385340.0,"Alton, Maine","https://en.wikipedia.org/wiki/Alton,_Maine",1176947176,Start
Northeast,New England,Maine,1385340.0,"Amherst, Maine","https://en.wikipedia.org/wiki/Amherst,_Maine",1174508467,C
Northeast,New England,Maine,1385340.0,"Amity, Maine","https://en.wikipedia.org/wiki/Amity,_Maine",1165909945,GA
Northeast,New England,Maine,1385340.0,"Andover, Maine","https://en.wikipedia.org/wiki/Andover,_Maine",1178670847,C
Northeast,New England,Maine,1385340.0,"Anson, Maine","https://en.wikipedia.org/wiki/Anson,_Maine",1174508529,C
Northeast,New England,Maine,1385340.0,"Appleton, Maine","https://en.wikipedia.org/wiki/Appleton,_Maine",1175304114,C
Northeast,New England,Maine,1385340.0,"Arrowsic, Maine","https://en.wikipedia.org/wiki/Arrowsic,_Maine",1157845402,C
Northeast,New England,Maine,1385340.0,"Arundel, Maine","https://en.wikipedia.org/wiki/Arundel,_Maine",1167582262,C
Northeast,New England,Maine,1385340.0,"Ashland, Maine","https://en.wikipedia.org/wiki/Ashland,_Maine",1166014624,GA
Northeast,New England,Maine,1385340.0,"Athens, Maine","https://en.wikipedia.org/wiki/Athens,_Maine",1166014679,C
Northeast,New England,Maine,1385340.0,"Auburn, Maine","https://en.wikipedia.org/wiki/Auburn,_Maine",1176701303,C
Northeast,New England,Maine,1385340.0,"Augusta, Maine","https://en.wikipedia.org/wiki/Augusta,_Maine",1179819536,GA
Northeast,New England,Maine,1385340.0,"Aurora, Maine","https://en.wikipedia.org/wiki/Aurora,_Maine",1174508655,Start
Northeast,New England,Maine,1385340.0,"Avon, Maine","https://en.wikipedia.org/wiki/Avon,_Maine",1174508681,C
Northeast,New England,Maine,1385340.0,"Baileyville, Maine","https://en.wikipedia.org/wiki/Baileyville,_Maine",1174508713,C
Northeast,New England,Maine,1385340.0,"Baldwin, Maine","https://en.wikipedia.org/wiki/Baldwin,_Maine",1176707645,C
Northeast,New England,Maine,1385340.0,"Bangor, Maine","https://en.wikipedia.org/wiki/Bangor,_Maine",1179875193,GA
Northeast,New England,Maine,1385340.0,"Bar Harbor, Maine","https://en.wikipedia.org/wiki/Bar_Harbor,_Maine",1177199012,GA
Northeast,New England,Maine,1385340.0,"Baring Plantation, Maine","https://en.wikipedia.org/wiki/Baring_Plantation,_Maine",1116692491,Start
Northeast,New England,Maine,1385340.0,"Bath, Maine","https://en.wikipedia.org/wiki/Bath,_Maine",1177124130,C
Northeast,New England,Maine,1385340.0,"Beals, Maine","https://en.wikipedia.org/wiki/Beals,_Maine",1166015178,Start
Northeast,New England,Maine,1385340.0,"Beaver Cove, Maine","https://en.wikipedia.org/wiki/Beaver_Cove,_Maine",1178363376,Start
Northeast,New England,Maine,1385340.0,"Beddington, Maine","https://en.wikipedia.org/wiki/Beddington,_Maine",1178364704,Start
Northeast,New England,Maine,1385340.0,"Belfast, Maine","https://en.wikipedia.org/wiki/Belfast,_Maine",1178344859,C
