regional_division,state,population,article_title,revision_id,article_quality
New England,Maine,1385340.0,"Abbot, Maine",1171169435,Start
New England,Maine,1385340.0,"Acton, Maine",1175249481,C
New England,Maine,1385340.0,"Addison, Maine",1168360008,C
New England,Maine,1385340.0,"Albion, Maine",1165909611,C
New England,Maine,1385340.0,"Alexander, Maine",1170293819,Start
New England,Maine,1385340.0,"Alfred, Maine",1159978367,C
New England,Maine,1385340.0,"Allagash, Maine",1164604474,C
New England,Maine,1385340.0,"Alna, Maine",1174508448,C
New England,Maine,1385340.0,"Alton, Maine",1176947176,Start
New England,Maine,1385340.0,"Amherst, Maine",1174508467,C
New England,Maine,1385340.0,"Amity, Maine",1165909945,GA
New England,Maine,1385340.0,"Andover, Maine",1178670847,C
New England,Maine,1385340.0,"Anson, Maine",1174508529,C
New England,Maine,1385340.0,"Appleton, Maine",1175304114,C
New England,Maine,1385340.0,"Arrowsic, Maine",1157845402,C
New England,Maine,1385340.0,"Arundel, Maine",1167582262,C
New England,Maine,1385340.0,"Ashland, Maine",1166014624,GA
New England,Maine,1385340.0,"Athens, Maine",1166014679,C
New England,Maine,1385340.0,"Auburn, Maine",1176701303,C
New England,Maine,1385340.0,"Augusta, Maine",1179819536,GA
New England,Maine,1385340.0,"Aurora, Maine",1174508655,Start
New England,Maine,1385340.0,"Avon, Maine",1174508681,C
New England,Maine,1385340.0,"Baileyville, Maine",1174508713,C
New England,Maine,1385340.0,"Baldwin, Maine",1176707645,C
New England,Maine,1385340.0,"Bangor, Maine",1179875193,GA
New England,Maine,1385340.0,"Bar Harbor, Maine",1177199012,GA
New England,Maine,1385340.0,"Baring Plantation, Maine",1116692491,Start
New England,Maine,1385340.0,"Bath, Maine",1177124130,C
New England,Maine,1385340.0,"Beals, Maine",1166015178,Start
New England,Maine,1385340.0,"Beaver Cove, Maine",1178363376,Start
New England,Maine,1385340.0,"Beddington, Maine",1178364704,Start
New England,Maine,1385340.0,"Belfast, Maine",1178344859,C
New England,Maine,1385340.0,"Belgrade, Maine",1179493769,C
New England,Maine,1385340.0,"Belmont, Maine",1166015358,Start
New England,Maine,1385340.0,"Benton, Maine",1178752016,Start
New England,Maine,1385340.0,"Berwick, Maine",1163121731,C
New England,Maine,1385340.0,"Bethel, Maine",1175379508,C
New England,Maine,1385340.0,"Biddeford, Maine",1179427727,GA
New England,Maine,1385340.0,"Bingham, Maine",1174508835,GA
New England,Maine,1385340.0,"Blaine, Maine",1174508941,C
New England,Maine,1385340.0,"Blue Hill, Maine",1174508976,C
New England,Maine,1385340.0,"Boothbay, Maine",1171733474,C
New England,Maine,1385340.0,"Boothbay Harbor, Maine",1171733345,C
New England,Maine,1385340.0,"Bowdoin, Maine",1174509001,C
New England,Maine,1385340.0,"Bowdoinham, Maine",1166016065,C
New England,Maine,1385340.0,"Bowerbank, Maine",1174509018,Start
New England,Maine,1385340.0,"Bradford, Maine",1174509028,C
New England,Maine,1385340.0,"Bradley, Maine",1166016143,Start
New England,Maine,1385340.0,"Bremen, Maine",1166016226,C
New England,Maine,1385340.0,"Brewer, Maine",1165537004,GA
New England,Maine,1385340.0,"Bridgewater, Maine",1174509111,C
New England,Maine,1385340.0,"Bridgton, Maine",1167492887,C
